NSPID,NUMACC,LUMACC,AVEACC,NUMRT,LUMRT,AVERT,NUMIE,LUMIE,rITG,lITG,rMOG,lMOG,raIPS,laIPS,rpIPS,lpIPS,rPM,lPM,rinsula,linsula,rIFG,lIFG,ACC,group1,RES_1,group2,RES_2,RES_3
S0216,0.866666667,0.982758621,0.923728814,0.906778101,0.837840845,0.870728343,1.046282424,0.852539807,0,0,0,0,0,0,1.856453776,0,0,0,1.924752712,0,1.838121653,0,2.068212986,0, ,1,-0.044604277,-0.042694703
S0217,0.982758621,0.875,0.929824561,0.836024545,0.685834964,0.766597286,0.850691642,0.783811387,3.372975111,3.290209055,3.61212945,3.231978416,2.836471796,2.488630295,3.154447556,2.617367029,3.132191896,2.53989172,2.376992464,2.529466867,2.524903059,2.631409883,2.572566271,1,0.134385205,0, ,0.135803959
S0219,0.859649123,0.962962963,0.90990991,0.804516262,0.717840359,0.759891044,0.935865856,0.745449604,2.843737602,2.140678406,2.306012154,2.335164785,2.305536509,1.92572093,2.831475735,2.714910746,1.966450691,2.192557335,2.027239084,0,2.135236263,2.440242767,2.308120966,0, ,1,-0.039479839,-0.038247903
S0220,0.86440678,0.98245614,0.922413793,1.133075124,1.103178597,1.117428344,1.310812398,1.122878215,2.682004929,0,2.41099143,0,2.271584272,2.18104887,2.305287123,1.918860793,0,1.877960563,0,0,0,0,2.255730629,1,-0.042758019,0, ,-0.044779413
S0225,0.714285714,0.849056604,0.779816514,0.718690771,0.69708784,0.707253925,1.00616708,0.821014567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.868772507,0, ,1,-0.11497697,-0.117644239
S0228,0.87755102,0.95,0.917431193,0.938318564,0.893727352,0.912901573,1.069246736,0.940765634,2.381811857,1.857015848,0,2.035861492,0,1.887539148,0,2.042069674,0,0,0,0,0,0,0,0, ,1,-0.013626903,-0.012838711
S0229,0.875,0.983050847,0.930434783,0.873030385,0.81985625,0.844207022,0.997749011,0.833991703,0,2.007589579,1.930911064,2.263942003,2.430573225,2.10748601,2.063636065,1.926811099,2.357611895,1.936537147,0,0,2.392239332,2.063784122,2.20285511,1,-0.032490175,0, ,-0.034530608
S0230,0.93220339,0.949152542,0.940677966,0.932562112,0.800204889,0.865787297,1.000384811,0.843073008,2.271192312,2.33299613,1.956135273,2.11549139,2.217422962,2.512465954,2.326086283,2.512156725,2.40804553,2.436050892,2.242839336,2.236789703,2.299160957,2.370398998,2.633080482,1,0.04325965,0, ,0.042304451
S0231,0.964912281,1,0.982905983,0.876427684,0.873157323,0.874721409,0.908297781,0.873157323,0,1.958000779,2.128844261,0,2.167744637,2.122950792,2.395188808,0,0,0,1.798377156,0,0,0,1.890724659,0, ,1,0.043066062,0.045565838
S0232,0.913793103,0.93220339,0.923076923,1.14751246,1.110243926,1.128533114,1.255768353,1.190988939,1.886152148,0,1.822694302,1.761785984,1.677090883,0,1.960455656,1.784845829,0,0,0,0,0,0,0,0, ,1,0.033531014,0.033709999
S0234,0.890909091,0.95,0.92173913,0.930449074,0.869593664,0.897724938,1.044381614,0.915361752,2.267974615,2.067990303,1.984494328,0,2.224396944,0,2.121907711,1.956166744,0,0,0,0,1.94096911,0,2.048878431,1,0.001501689,0, ,0.00051936
S0236,0.86440678,0.912280702,0.887931034,0.922612337,0.874045059,0.898092935,1.06733584,0.958087853,2.298879623,0,2.03445363,0,2.289187431,0,2.16867733,0,0,0,0,0,0,0,0,0, ,1,-0.003635411,-0.004138413
S0237,0.894736842,0.949152542,0.922413793,0.874886534,0.876201109,0.875574536,0.977814362,0.923140454,2.861675501,2.393593073,2.103129864,2.125889301,2.285056353,2.083893538,2.353849411,2.312868834,2.108221531,1.914003491,2.054161549,2.000411749,2.49347496,2.130258799,2.066696882,1,0.005793102,0, ,0.004837903
S0242,0.766666667,0.945454545,0.852173913,1.129717244,0.997432656,1.059525422,1.473544231,1.054976848,2.235847473,0,0,0,0,0,0,0,0,0,0,0,0,0,1.868772507,1,-0.120253826,0, ,-0.121090635
S0244,0.85,0.931034483,0.889830508,1.078772025,0.986584381,1.031361237,1.269143559,1.059664705,0,0,0,0,0,2.205504656,2.026399374,0,1.813537598,0,0,0,1.861131668,0,0,1,-0.029030992,0, ,-0.02940615
S0246,0.898305085,0.948275862,0.923076923,0.853861453,0.880461513,0.86740778,0.950525013,0.928486687,2.699630737,2.733106136,3.225530863,2.915780544,2.047001839,2.31264782,2.799949169,2.200730801,2.190757751,2.291998386,0,2.243175507,2.020130873,1.858277798,2.281712294,0, ,1,0.00818469,0.008913862
S0247,0.9,1,0.947826087,0.963435657,0.837492608,0.899886412,1.070484063,0.837492608,2.295659781,0,1.99267292,0,1.862555027,0,1.990097523,0,0,0,2.157487154,2.345807076,2.28489542,0,2.066899538,0, ,1,-0.021846219,-0.019346443
S0249,0.966666667,1,0.983193277,1.008082432,0.798492301,0.902391682,1.042843895,0.798492301,2.062051296,2.262304783,2.813503742,2.604376316,3.089858055,2.659226418,2.929982662,2.395599604,2.607845306,2.061569691,2.278624773,1.984712839,0,2.055831671,2.207653522,1,0.049903275,0, ,0.047320224
S0250,0.931034483,0.962962963,0.946428571,0.926554723,0.791462006,0.860282824,0.995188406,0.821902852,2.571819305,2.267400265,2.618024111,0,2.110471725,2.59180069,2.969700813,2.492741585,2.623714447,2.450301886,1.853803515,1.995826721,2.389843702,2.523443222,2.152570248,1,0.034534788,0, ,0.033137457
S0260,0.706896552,0.849056604,0.774774775,0.74580148,0.74774829,0.74682016,1.05503624,0.880681319,2.205579519,1.970374465,2.129436255,0,2.00393796,2.191642284,2.281197309,2.089901209,2.188290834,2.087288857,1.926907182,1.830816507,2.361553192,2.223304033,2.068957329,0, ,1,-0.122366132,-0.125033401
S0261,0.915254237,0.95,0.932773109,0.977258621,0.906584411,0.940966459,1.067745531,0.95429938,2.480680466,2.44315052,2.85816288,2.766790867,2.235671759,2.154564381,2.616904497,2.375027418,1.978933692,1.911123514,2.38632679,2.130126476,2.681406736,2.497010946,2.297723293,0, ,1,0.024076314,0.024864506
S0262,0.983333333,1,0.991525424,1.148325093,1.001370572,1.075475843,1.167788231,1.001370572,2.067472935,0,0,0,2.328130007,0,2.084428787,1.900315881,2.203494549,0,2.070725203,2.047536373,2.039557934,0,1.834662557,0, ,1,0.061487114,0.06398689
S0265,0.775862069,0.867924528,0.81981982,0.774378933,0.648108921,0.710550136,0.998088402,0.746734192,2.172731638,0,2.275473833,1.831692219,1.956705809,0,1.999746561,1.688503265,0,0,0,0,0,0,0,1,-0.068640216,0, ,-0.066994945
S0267,0.85,1,0.924369748,0.985803768,0.928856936,0.955259558,1.159769139,0.928856936,2.855345726,2.937438965,2.246977091,0,2.716612339,2.114994049,2.425084114,2.281760216,2.485650063,1.936055064,2.151139498,2.332624197,2.364047527,1.880499482,2.130339146,1,-0.066763392,0, ,-0.069346443
S0270,0.86440678,0.983333333,0.924369748,0.956284112,0.832418436,0.889847068,1.106289462,0.846527223,2.661618948,1.803126454,1.970142245,1.965393901,1.978037953,2.282220125,2.562070131,2.152417183,0,0,0,0,0,0,0,1,-0.043237948,0, ,-0.045287425
S0271,0.859649123,0.929824561,0.894736842,0.827634065,0.782469485,0.804166195,0.962757994,0.841523786,2.596317291,2.064646482,1.93293798,2.11429143,2.565440178,1.900544047,2.593145847,2.275263071,0,0,2.271143436,1.988278389,2.448584795,0,2.258228302,1,-0.018719896,0, ,-0.01905632
S0272,0.859649123,0.963636364,0.910714286,0.761421611,0.676720317,0.717410154,0.885735343,0.702256932,0,2.586295843,2.370449543,2.006555796,0,2.305086851,2.5031569,2.600959063,2.374091387,2.385951519,1.998030782,2.345998764,0,2.450412989,2.073952198,0, ,1,-0.039892881,-0.038637893
S0275,0.879310345,0.947368421,0.913043478,0.864176326,0.827495094,0.845311692,0.982788763,0.873467044,0,0,1.999838591,0,0,1.904750347,2.160815477,0,0,0,1.891573429,1.864412546,2.073711872,0,2.171555758,1,-0.008657268,0, ,-0.009555348
S0278,0.86440678,1,0.93220339,0.88801249,0.819002568,0.850998077,1.027308566,0.819002568,2.328913689,0,2.025841713,2.093418598,1.984712839,0,2.238975525,0,0,0,2.097143412,2.209071636,2.291625261,2.053254843,2.177727699,1,-0.052356612,0, ,-0.054939663
S0282,0.847457627,0.866666667,0.857142857,0.813567579,0.881249902,0.848072293,0.960009743,1.01682681,2.083791733,2.096883774,2.096361876,2.133522987,0,1.934741497,1.925186157,1.961116314,0,1.893214345,0,1.901359916,1.861980319,1.873197436,1.974986672,0, ,1,0.00739353,0.005329083
S0283,0.875,1,0.938053097,0.811076799,0.77603539,0.792233777,0.926944913,0.77603539,2.259958506,2.14021039,2.372997761,1.798920035,2.19012785,2.141858816,2.125964165,2.054586887,0,0,0,0,0,0,0,1,-0.041763392,0, ,-0.044346443
S0284,0.966101695,0.982142857,0.973913043,0.970367834,0.870657668,0.92140302,1.004415828,0.886487808,2.695835352,2.246002436,3.170024872,2.173765898,2.342476606,1.994740248,3.070242643,2.214590788,2.296950102,1.944166541,2.025196552,2.017575026,2.763229847,2.632929564,2.271613598,0, ,1,0.055208439,0.057096935
S0286,0.85,1,0.924369748,0.96244077,0.908644322,0.933586312,1.132283259,0.908644322,2.419261694,2.279190302,1.791066408,2.412471294,2.524267912,2.515746355,2.564282656,2.327319384,2.562122345,2.27085495,2.740901709,2.808060408,2.508882523,0,2.515991449,1,-0.066763392,0, ,-0.069346443
S0292,0.754385965,0.824561404,0.789473684,0.706185613,0.678099938,0.691518649,0.93610651,0.82237652,0,2.227609873,2.276818514,2.288666487,2.153531551,2.140006065,2.290421486,2.389472723,2.393567562,2.260476351,2.296813011,2.096251488,2.30365777,1.889809132,2.0307796,1,-0.066391496,0, ,-0.063357979
S0294,0.86440678,1,0.930434783,1.023115607,0.952830593,0.986330927,1.183604329,0.952830593,2.303513527,0,1.989386678,0,2.492247343,2.390457153,2.358601093,2.285953045,2.287244558,1.97006321,1.95397234,0,2.301794291,2.286860704,2.039566517,0, ,1,-0.057439439,-0.054939663
S0295,0.781818182,0.862745098,0.820754717,0.846741856,0.762017783,0.803892899,1.083041909,0.883247885,0,0,0,1.896054149,1.888281941,2.271772623,2.265657663,2.34683466,2.134572983,2.330293417,0,1.985124707,0,2.165788174,2.077020407,0, ,1,-0.055840558,-0.058039247
S0296,0.783333333,0.915254237,0.848739496,1.007730045,0.921150677,0.961440086,1.286463888,1.006442407,2.141791582,0,0,0,2.0341537,2.052489519,2.256769657,1.989318848,0,0,0,0,0,1.846936822,1.8522048,1,-0.087063973,0, ,-0.086933936
S0299,0.931034483,0.93220339,0.931623932,1.045135493,0.951336933,0.997805944,1.122552937,1.020525073,2.27179718,2.277483225,2.896355152,0,2.387771606,0,2.322276592,0,0,2.3053298,2.106095791,2.289885759,0,0,1.984719396,1,0.051363959,0, ,0.050951379
S0300,0.909090909,1,0.956140351,0.751098337,0.682056519,0.713727078,0.826208171,0.682056519,2.276041746,0,2.412698746,2.069785595,2.309364796,2.041295528,2.930812836,2.406380653,2.520931005,1.916571498,2.232820988,1.973183393,2.430112839,0,2.304703951,1,-0.007672483,0, ,-0.010255534
S0302,1,1,1,1.064112879,1.024783999,1.043413469,1.064112879,1.024783999,2.265291214,2.30132699,2.546504974,2.242306709,2.268696785,2.01218009,2.329480648,2.256556273,2.162343264,1.937256694,2.688225031,2.347368479,2.327814579,2.294996023,2.651730061,1,0.083236608,0, ,0.080653557
S0303,0.981132075,1,0.991150442,0.866091433,0.881909774,0.874565544,0.882747038,0.881909774,2.309487104,2.76911211,2.509185553,2.181539536,2.769244909,2.422679424,2.777200699,2.368354797,2.650251865,2.374751091,2.515509367,2.415770531,2.818449736,2.563427687,2.930841684,1,0.064368683,0, ,0.061785632
S0305,0.913793103,0.912280702,0.913043478,0.814445109,0.727941904,0.771605426,0.891279554,0.797936318,2.717333794,2.259718418,3.329252243,0,2.469923735,2.201108456,2.833172798,0,2.216597557,0,1.982751489,1.954444289,2.506098032,0,2.151383162,1,0.045022676,0, ,0.04524791
S0307,0.830508475,0.965517241,0.897435897,0.906187472,0.815652399,0.8579021,1.09112369,0.844782842,2.743541002,2.122510433,1.718765497,0,2.678111553,1.948858976,2.389317036,2.043473721,0,0,1.930364013,0,2.180562735,1.921646237,2.101169586,1,-0.067388716,0, ,-0.068867821
S0311,0.830508475,0.982758621,0.905982906,0.999172167,0.950750311,0.973133999,1.203084854,0.967430141,2.172006607,2.533840418,2.040549755,2.49668026,2.183712959,2.354294777,2.167513371,2.288513422,2.169138193,2.251535416,1.945877314,2.18419981,2.074996233,2.21589613,2.359425783,1,-0.076821817,0, ,-0.078852895
S0312,0.857142857,0.928571429,0.892857143,0.856737164,0.801603459,0.828067637,0.999526691,0.863265263,2.352245331,1.968454123,2.429844618,0,2.256211519,0,2.430777073,1.97435689,0,0,1.981024504,0,2.489700556,0,2.000232458,0, ,1,-0.020891511,-0.020836854
S0314,0.982142857,1,0.991304348,0.859103344,0.910876121,0.885898027,0.874723405,0.910876121,2.136993647,1.852065563,2.139669418,1.880793452,2.052716494,0,2.076584339,1.823466063,1.960294008,0,2.16042614,2.042261124,2.042892218,0,0,0, ,1,0.060296638,0.062796414
S0317,0.93220339,0.966101695,0.949152542,0.874057971,0.964816104,0.920247378,0.937625823,0.998669301,3.075015306,2.173540354,3.493176699,0,2.452258348,1.991954565,2.494249105,0,0,0,1.989362359,1.991980672,2.374712706,0,1.928101659,0, ,1,0.031149236,0.032488616
S0318,0.928571429,0.982758621,0.956140351,0.939894964,0.909320957,0.923906722,1.012194576,0.925273956,2.722982407,2.947101355,2.531914711,2.360131502,2.372241974,2.309523582,2.902690887,2.629995346,2.677766323,2.128189564,2.495666504,2.409072876,2.769574404,2.617693186,2.657410622,1,0.021241137,0, ,0.019210059
S0322,0.877192982,1,0.939655172,1.054976772,1.083339208,1.070328916,1.202673521,1.083339208,2.188395023,0,0,0,0,0,1.752260208,0,0,0,0,0,0,0,0,1,-0.03957041,0, ,-0.042153461
S0323,0.915254237,0.981481481,0.946902655,0.925181392,0.801882123,0.864107922,1.010846336,0.817011975,1.933236837,2.635950565,1.797378778,2.065993309,0,2.617790461,2.11579299,2.619581223,0,2.102759838,1.997584343,2.052666903,2.027633429,2.694561243,2.125533819,0, ,1,0.004766647,0.006632503
S0324,0.85,1,0.925,0.919516464,0.771950929,0.83975131,1.081784075,0.771950929,2.526801825,2.405505419,3.046559095,2.218372107,3.416394234,3.048797131,3.515685797,3.294064522,2.807378054,2.635016203,3.199584007,2.774051905,3.350091696,3.086521626,2.969284773,0, ,1,-0.071846219,-0.069346443
S0325,0.927272727,0.981132075,0.953703704,0.851728694,0.781185447,0.816114628,0.918530945,0.796208244,2.213759899,2.196382999,2.527328014,2.254486799,2.221787453,2.364809275,2.39134407,2.504094362,2.298924923,2.382015705,2.161256313,2.291032076,2.41036129,1.951174974,2.139631033,1,0.020832351,0, ,0.018853346
S0327,0.711864407,0.884615385,0.792792793,0.747907985,0.643791014,0.693483204,1.050632645,0.727763755,2.096285105,1.877909541,0,0,2.273879766,0,2.129854679,2.019221544,2.018367767,1.932326078,2.319996357,2.062070131,1.876356959,0,2.137739658,1,-0.141769777,0, ,-0.140658854
S0328,0.810344828,0.912280702,0.860869565,0.763183424,0.741851929,0.751979002,0.941800821,0.813183845,0,1.82154429,0,2.211318731,0,1.694643855,2.050706625,2.050870657,0,0,0,2.015118837,0,2.052963495,0,0, ,1,-0.057697363,-0.058200365
S0329,0.947368421,1,0.974358974,0.961451725,0.867206541,0.911848996,1.01486571,0.867206541,1.926630259,2.19304347,0,1.873905182,2.549932718,2.183140516,2.483015299,1.915437579,0,1.852238417,2.019918203,2.405110121,2.092055082,2.37097168,1.97507751,0, ,1,0.025522202,0.028021978
S0332,0.95,1,0.974576271,0.961202905,0.925410964,0.943151318,1.011792532,0.925410964,2.049106836,0,2.412382841,1.997488856,2.24029851,2.246747971,2.234190464,0,1.954603195,0,0,0,0,0,1.872612476,1,0.033236608,0, ,0.030653557
S0334,0.85,1,0.924369748,0.998792848,0.940930663,0.967757676,1.175050409,0.940930663,0,0,1.948219299,1.711486578,2.323420525,2.278688908,2.200915575,1.931151628,0,0,2.056576252,1.856315017,2.389809847,0,2.013226986,0, ,1,-0.071846219,-0.069346443
S0335,0.847457627,1,0.923076923,0.991985618,0.926595964,0.956868952,1.170543029,0.926595964,0,0,0,0,1.928633451,1.782743216,1.917339563,0,0,0,0,0,0,0,0,0, ,1,-0.074388592,-0.071888816
S0337,0.9,1,0.948275862,1.048391145,0.988228003,1.017762637,1.16487905,0.988228003,2.498902321,2.00680685,2.342620373,0,2.244819164,1.972266197,2.703039885,2.273957491,2.324642658,2.423940897,2.071641684,2.498954296,2.533349991,2.512237549,2.47399354,0, ,1,-0.021846219,-0.019346443
S1001,0.862068966,0.983333333,0.923728814,1.068663408,0.875922058,0.964335522,1.239649553,0.890768195,2.257517815,0,1.953490376,0,2.025420904,1.885128021,2.078834057,0,2.135099411,1.826991558,2.17142415,1.892617345,2.172205448,0,1.987660646,1,-0.045575762,0, ,-0.047625239
S1002,0.910714286,0.966101695,0.939130435,0.815374492,0.834822773,0.825638863,0.895313167,0.8641148,2.047948599,0,2.50428009,2.038853645,2.742636681,2.288774967,2.788598776,2.383715391,2.4316535,2.215323687,2.149040461,2.232265472,2.305145979,2.248097181,2.829780579,0, ,1,0.009660132,0.010999512
S1003,0.872727273,0.946428571,0.90990991,1.075582377,0.972561038,1.021521674,1.23243814,1.027611663,2.293499708,2.183377266,0,0,2.095415831,2.284206629,2.014828444,1.819830656,0,0,0,1.757632852,2.386399508,2.161426067,2.185296297,1,-0.014726129,0, ,-0.015594121
S1005,0.949152542,1,0.974576271,1.411408323,1.140903942,1.272627815,1.487019484,1.140903942,2.821985722,2.202706099,2.400850296,2.319287777,2.515953302,2.011039495,2.991640091,2.257711172,2.365249157,2.05055666,2.364737988,2.16093421,2.263696909,0,2.642169476,1,0.03238915,0, ,0.029806099
S1006,0.85,0.981481481,0.912280702,1.202496248,1.089488732,1.144905879,1.414701468,1.110045124,2.311009169,0,0,0,2.398152828,0,1.92827332,0,0,0,1.869835496,2.014517784,1.930996418,0,0,0, ,1,-0.06048759,-0.058621734
S1007,0.883333333,0.929824561,0.905982906,1.259199524,1.192125741,1.225662632,1.425508896,1.282097496,2.504596233,1.91408062,1.995830655,0,2.523761034,2.129464865,2.475312948,2.076148987,2.108083487,0,0,0,2.344738483,0,2.011710167,1,0.004964314,0, ,0.00462789
S1008,0.8,0.963636364,0.87826087,1.234878141,1.086588411,1.157062738,1.543597676,1.127591747,2.359644413,2.42406249,2.353380203,2.163082361,2.172431946,2.36797452,2.325757742,2.031039715,1.993506193,1.932438612,1.834333301,1.973480463,2.300963402,0,2.154655457,1,-0.096868126,0, ,-0.098287016
S1009,0.8,0.944444444,0.868421053,1.065835963,0.895783288,0.97823307,1.332294954,0.948476423,2.013883591,1.779495478,1.781333327,0,2.415295839,1.868926287,1.712718368,0,0,0,0,1.943624377,2.375383139,1.905856371,1.792224884,0, ,1,-0.087770334,-0.087172318
S1012,0.964285714,0.98245614,0.973451327,1.166041132,1.015877277,1.089594079,1.209227841,1.034017943,2.822997093,2.17704463,2.59522438,0,3.274631739,2.521967888,3.05079484,2.458997011,2.952527285,2.536417961,2.526298285,2.12054348,2.972201824,2.237155914,2.571236372,1,0.057120915,0, ,0.055099521
S1013,0.925925926,1,0.963963964,1.18910371,1.108907265,1.146382239,1.284232007,1.108907265,0,0,0,0,0,0,1.97953105,0,0,0,2.079134703,0,0,0,1.889497161,1,0.009162534,0, ,0.006579483
S1014,0.93220339,1,0.965811966,0.987090934,0.975334276,0.981056543,1.058879365,0.975334276,2.950562,2.564816713,2.770949125,2.480149508,2.349790335,2.107335091,2.685967207,2.245409012,2.428587437,2.251348257,2.544909477,2.158520699,2.235430956,2.411737204,2.461191654,0, ,1,0.010357171,0.012856947
S1016,0.983050847,0.983333333,0.983193277,1.217667902,1.241854453,1.229864539,1.238662177,1.262902834,2.507301092,2.311555147,2.274888992,2.308527946,2.618767738,2.444196939,2.276361465,2.171415567,2.051810026,1.991172671,0,0,2.418044567,2.104465723,1.845133662,0, ,1,0.071427394,0.073356642
S1017,0.894736842,0.854545455,0.875,0.82543724,0.855940659,0.840066431,0.922547504,1.001632686,2.501714468,2.239395857,2.078712225,2.117866278,2.179975271,1.859151244,2.616267204,2.02986002,2.185858488,2.081254244,2.552134752,2.233938932,2.096304417,1.904480338,2.150373459,0, ,1,0.062107484,0.059628107
S1018,0.898305085,0.966666667,0.932773109,1.213987221,1.110280039,1.159797883,1.351419736,1.148565557,2.608336449,2.283134937,2.476785421,0,2.341217995,2.268411875,2.367291212,2.556205034,1.89923048,0,1.847355008,1.799361348,2.36169672,2.638131142,2.135696888,0, ,1,-0.003095603,-0.001736883
S1019,1,0.9375,0.969072165,1.269966907,1.204748698,1.238745424,1.269966907,1.285065278,2.306746721,2.211671591,2.224020481,2.34014678,2.825139523,2.615637064,2.859639406,2.550740004,2.167172432,2.426217079,1.996212602,1.858110666,2.156554699,2.379433632,2.102443933,0, ,1,0.116489151,0.116849447
S1020,0.913793103,0.98245614,0.947826087,1.106016821,1.052151321,1.078342803,1.210358031,1.070939738,1.990991235,2.260316133,2.122980356,0,2.1680336,2.296521187,2.204577684,2.249768257,0,0,2.210246563,2.050650358,0,1.960361481,2.23038435,0, ,1,0.00270769,0.00460691
S1022,0.93220339,0.98245614,0.956896552,1.135372289,1.090566968,1.112767802,1.217944819,1.110041379,2.876141548,2.662329197,2.78642416,2.733750105,2.456378222,2.528614759,2.628715754,2.57407403,2.098522902,2.30894804,1.957023144,0,2.759547234,2.891490459,2.098752737,1,0.025038591,0, ,0.023017197
S1027,0.881355932,1,0.94017094,1.182726602,1.092647129,1.135230153,1.341939799,1.092647129,2.292857647,1.847464204,2.078410149,2.032532454,2.004241943,0,2.2998631,1.856981993,1.840276957,0,2.142436028,1.784537315,2.237480879,1.879524469,2.143698931,1,-0.03540746,0, ,-0.037990511
S1028,0.915254237,1,0.956896552,0.888795969,0.856141924,0.872027676,0.971091892,0.856141924,2.319553614,2.18016386,2.328638792,2.385213614,2.567188978,2.311913252,2.682132721,2.299689054,2.230627775,0,1.914932609,1.720323443,2.126750708,0,2.241286755,0, ,1,-0.006591982,-0.004092206
S1029,0.945454545,1,0.972972973,1.259667983,1.234003174,1.246360305,1.332341137,1.234003174,2.28239131,2.269770861,2.04573369,2.236170053,2.367799044,2.225085974,2.574121237,1.900710821,1.88700223,0,2.169301033,0,2.374611855,0,1.951115727,0, ,1,0.023608326,0.026108102
S1030,0.98245614,1,0.991304348,1.178290672,1.084944258,1.130798636,1.199331577,1.084944258,2.730271339,2.374339104,2.174770117,1.961866856,2.275984287,2.00082159,2.3347826,2.227216482,2.263611078,0,1.939946771,2.292726994,2.406672955,2.403721809,2.228953838,0, ,1,0.060609921,0.063109697
S1034,0.898305085,0.892857143,0.895652174,0.626319167,0.615414417,0.621025599,0.697223223,0.689264147,2.30875206,2.297554255,2.102704287,0,2.421712637,2.080351114,2.299164772,2.16966033,2.137731791,2.301346302,2.321806431,2.296728611,2.323659182,2.475583792,2.500174284,0, ,1,0.042176643,0.04100874
S1035,0.875,0.982758621,0.929824561,1.020755032,1.027957817,1.024628228,1.166577179,1.045992164,2.647450209,2.396737814,2.424157143,2.251068354,2.403956175,2.137106419,2.505322456,2.277879715,2.286138773,2.196888924,1.886551738,2.078701019,2.4419837,2.197270632,2.004841089,0, ,1,-0.036270944,-0.03436137
S1036,0.879310345,0.964912281,0.92173913,1.047103292,1.068984628,1.058456816,1.190823351,1.107856796,1.964305997,2.188870668,1.757396817,1.944231391,2.238443136,1.968711257,0,0,0,0,2.08322978,0,1.969521523,0,0,0, ,1,-0.021014263,-0.019715598
S1037,0.760869565,1,0.89,1.052281944,0.989439937,1.014153086,1.382999127,0.989439937,0,0,0,0,0,0,0,0,0,2.068742275,1.867199183,1.919240355,1.83888483,0,1.915424705,0, ,1,-0.160976654,-0.158476878
S1038,0.933333333,0.983333333,0.958333333,1.16291899,1.039469068,1.099583813,1.245984633,1.057087188,2.382310629,1.952588916,2.459491968,2.130299568,2.988380432,2.481343746,3.052970171,2.361183643,2.57862258,2.43345952,3.03156209,2.737414122,3.00308156,2.573114634,2.690813303,1,0.025688605,0, ,0.023639128
S1039,0.946428571,1,0.973913043,1.119982652,0.981328481,1.046941615,1.183377897,0.981328481,3.354398489,3.331608057,3.281419277,2.743854523,3.195654154,2.845000982,3.443566084,2.68403101,2.737235308,2.226552248,2.177098513,2.067859888,3.225436211,2.683705091,2.306267023,1,0.029665179,0, ,0.027082128
S1040,0.86440678,0.963636364,0.912280702,1.050749538,1.050553189,1.050649476,1.215572994,1.090196705,2.319623232,2.141185045,2.414901257,1.813813448,2.208583117,1.919724584,2.119585514,2.005547762,2.100260258,1.791497827,0,0,1.851992369,0,1.891501427,1,-0.032461346,0, ,-0.033880236
S1041,0.844827586,1,0.923076923,1.03443199,0.822383543,0.918590709,1.224429703,0.822383543,2.836487055,2.759701252,3.568394899,3.552506208,3.421872139,3.076339483,3.409723282,2.828976631,2.654309511,2.926613569,3.834624052,3.405184031,3.107730389,3.446123362,3.37223506,1,-0.071935806,0, ,-0.074518857
S1043,0.898305085,1,0.948717949,1.112496679,0.973168801,1.039694725,1.238439699,0.973168801,2.259002686,2.128941774,1.965111136,2.168014288,2.133144617,1.989454389,2.299555302,1.829562783,0,1.881155372,2.06856823,2.009758234,2.132848501,2.242869377,2.251889706,0, ,1,-0.023541134,-0.021041358
S1044,0.93220339,0.982142857,0.956521739,1.040027281,0.947667838,0.99384756,1.115665629,0.964898162,2.070395231,2.011395216,2.051603317,2.092631578,1.739710331,2.08975935,2.212319613,2.259407282,0,0,1.938241959,0,0,2.18529439,0,1,0.025209995,0, ,0.02319863
S1045,1,1,1,1.028795122,0.967229468,0.997724605,1.028795122,0.967229468,2.163805962,2.121048927,2.389124393,0,2.227225542,1.939928532,2.669252396,1.872639894,0,0,0,0,2.1175704,1.912610292,1.958774209,0, ,1,0.078153781,0.080653557
S1049,0.983050847,0.98245614,0.982758621,0.896026556,0.880195403,0.888249849,0.91147529,0.895913178,2.781075478,2.296918154,3.673564911,3.091658354,3.344654083,2.71825099,4.235378742,3.140222788,3.178568125,2.618370295,2.755658388,2.173357725,2.816266298,0,2.807314634,0, ,1,0.071965434,0.073864654
S1050,0.964912281,1,0.982905983,0.932441353,0.951760764,0.942521045,0.966348311,0.951760764,2.66612792,2.156927824,2.011163235,0,2.220080376,2.253069401,2.212256193,1.865810871,0,0,0,1.824386597,0,2.077604771,1.975009203,1,0.048148889,0, ,0.045565838
S1052,0.948275862,1,0.974358974,0.907833964,0.834047728,0.86964635,0.95735218,0.834047728,2.824805737,2.664110899,2.527953863,2.457404613,2.744298935,2.544011116,2.780794382,2.406526804,2.489651203,2.458496094,2.652962446,2.526266336,2.470518827,2.187286615,2.623849869,1,0.03151247,0, ,0.028929419
S1053,0.981481481,1,0.99122807,1.081984911,1.062119301,1.0714368,1.102399721,1.062119301,2.775559425,2.09414649,2.238839626,2.366000175,2.5693326,2.259506941,3.006513119,2.475663424,1.870371222,1.789981484,2.495105267,2.078219891,2.564183235,0,2.422966242,1,0.064718089,0, ,0.062135038
S1055,0.966101695,0.983050847,0.974576271,1.040479383,0.891733822,0.965459883,1.076987431,0.907108543,2.615922213,2.442837954,2.264488697,2.059757471,2.65511775,2.565820694,2.944886208,2.624469757,2.016352415,2.201632738,2.06621933,2.067802429,2.56908989,2.089816332,2.209357262,1,0.05861152,0, ,0.056571087
